#{"t_start": 1683691821.7579443, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
38.689773,168,64.915979
40.154869,271,113.878381
39.224233,131,138.555577
39.333289,109,159.148674
-5.016909,74,173.590522
-7.4668,25,179.307853
39.255442,131,203.691882
39.691209,116,228.450632
39.139274,108,249.075067
-3.195055,56,260.448186
38.879605,100,279.792216
-4.040237,66,292.846061
38.816735,87,309.765079
-5.766258,51,320.163541
38.675724,93,338.083184
38.824619,98,356.78629
-5.627514,51,367.355053
39.250548,109,388.595217
39.742628,97,407.493973
-2.37657,71,422.349484
39.743236,129,446.638639
-3.801809,48,456.458499
40.305936,168,487.716069
38.933103,88,504.537721
-7.271615,25,510.470087
38.565478,111,531.245805
-2.197319,74,545.855664
39.5798,130,570.26289
-3.802954,62,582.902939
39.401542,138,608.594939
39.256538,86,626.030342
39.450741,86,642.623984
39.534439,193,678.138311
-1.154695,93,696.057315
39.688104,205,733.720294
39.27246,113,754.967767
38.410887,111,776.039114
39.011986,127,799.865098
39.188504,90,818.146383
-3.614533,69,831.906962
-5.797732,26,837.898618
39.690498,147,865.351068
39.023764,97,883.978521
39.327281,136,909.339504
38.70162,97,927.844016
39.355626,135,953.208436
38.940484,105,973.107375
-3.393065,60,985.211166
39.106064,87,1003.109149
38.875093,84,1019.307564
-0.52028,91,1037.020396
-3.225834,59,1048.800128
38.856462,85,1065.597581
39.418404,115,1087.36597
39.596487,92,1105.277071
39.568194,130,1129.658
-8.805001,21,1134.816523
39.548549,115,1156.950204
39.226152,111,1178.283659
38.866503,106,1199.576165
38.427925,115,1221.628838
39.12062,102,1240.976707
38.968191,90,1258.204265
-1.768838,83,1274.658203
38.875084,94,1292.449691
39.157051,124,1315.749701
-5.136735,73,1329.944069
38.737854,116,1351.814331
-3.666948,51,1362.323588
38.88128,115,1384.789079
-3.782315,50,1395.198737
-5.249702,76,1409.929278
-6.418323,17,1414.451696
39.321021,145,1441.439105
-6.078107,35,1449.188946
38.426614,138,1474.973673
38.831271,104,1494.627554
39.124119,91,1512.116485
-9.853323,51,1522.633289
39.307974,94,1540.623877
38.865525,90,1558.119878
38.922258,115,1580.998068
-6.139105,57,1592.332211
-6.6009,79,1607.876138
39.107813,106,1627.994923
39.007938,103,1648.042485
39.323428,243,1692.582389
-1.709085,140,1719.042666
38.73571,103,1738.767412
-7.424057,12,1742.256423
39.529667,128,1766.634031
39.143158,125,1790.945982
38.2304,114,1812.3119
39.49827,150,1840.155272
38.829163,89,1857.599113
-3.475849,54,1868.481631
0.539215,152,1896.482585
39.081067,143,1923.07554
38.685724,121,1945.860363
39.636188,137,1972.36965
39.332887,117,1994.534331
-3.16604,71,2008.847921
39.163071,94,2026.929969
-4.964554,54,2038.03436
-1.114138,171,2069.396364
39.54543,117,2091.436529
39.023928,159,2120.748384
39.241566,89,2137.984954
38.623818,92,2156.682303
-1.68384,65,2169.84634
39.568807,115,2191.402613
40.362615,135,2216.646372
38.99365,135,2241.921466
38.600776,100,2261.080293
38.534254,155,2289.898941
38.922002,155,2318.794755
-0.150586,130,2344.236114
-1.691478,92,2361.738358
39.101594,86,2378.149354
38.81533,88,2395.033062
39.232504,108,2415.541416
38.584659,100,2434.850106
38.916914,141,2461.277066
-4.503162,65,2474.142957
38.945761,98,2492.825112
39.222619,178,2525.90048
39.323519,131,2550.977158
-6.145907,123,2573.940665
-8.119267,43,2583.081976
-3.818399,67,2596.373107
38.696691,97,2615.065237
39.366643,85,2631.522549
-7.279546,33,2638.7613
39.575864,112,2660.039181
39.042893,127,2683.991292
39.483233,88,2700.903534
-3.192624,72,2715.008036
-2.288325,75,2730.629482
39.884884,147,2757.856155
-1.145751,89,2775.132288
39.096824,117,2797.315375
-0.217672,115,2818.826336
-2.511582,76,2833.946351
39.745896,96,2852.399654
-4.196991,108,2873.21692
39.250981,102,2892.795777
-5.283726,26,2898.816859
-2.475014,85,2916.185771
38.357171,100,2935.288062
39.747592,103,2954.877859
39.561531,92,2972.744436
39.377815,116,2994.874278
-8.624443,19,2999.602334
39.196249,112,3020.931826
39.518244,95,3039.01434
39.66766,131,3063.618707
38.842792,109,3084.477187
-4.119322,54,3095.812238
38.343831,139,3122.636132
39.86203,122,3145.883452
-6.113929,53,3156.598278
38.574441,116,3178.241779
-3.344118,69,3192.018102
38.835403,109,3212.906815
-4.284687,43,3222.011284
39.444409,104,3241.606563
-4.06834,54,3252.545019
39.084627,99,3271.542593
38.848747,154,3300.047848
-3.241577,55,3312.211669
40.058528,202,3349.173454
1.115594,164,3379.377958
-7.563187,51,3390.030266
39.220183,99,3409.002288
38.907135,121,3431.800105
39.027645,114,3453.295514
-0.128023,164,3483.650047
-1.382558,87,3501.340947
-3.986759,70,3515.363504
-1.921611,58,3527.062336
1.460643,149,3554.654939
-9.685785,62,3567.106617
39.355175,114,3588.741008
-4.955286,68,3602.060971
39.074721,148,3629.572241
39.83106,108,3650.197419
38.364389,134,3675.723317
39.557132,179,3709.231544
40.164349,197,3745.881494
39.563429,153,3774.652783
38.454774,106,3794.844449
38.47693,111,3816.149989
39.124375,121,3839.009178
39.667338,121,3861.640329
39.749519,156,3891.51361
-8.586576,16,3895.847309
38.735119,94,3914.148052
38.799882,82,3930.082675
39.101801,174,3961.931234
39.956738,177,3994.683824
39.043481,119,4017.042283
40.221635,237,4061.097384
39.230545,204,4098.976456
-9.224791,29,4105.342322
-2.983097,66,4118.439384
-3.532749,76,4133.022462
38.901465,184,4166.957786
38.613857,109,4187.566828
39.580122,110,4208.345648
1.096934,199,4244.667469
-5.061253,55,4256.746587
-0.999435,81,4272.508473
39.132613,227,4313.867737
39.491505,192,4349.29532
39.996561,360,4414.093356
-6.471907,43,4423.100893
40.258664,238,4467.266531
38.973763,102,4486.563118
39.020246,116,4508.614428
38.567441,135,4533.553521
-1.335747,66,4546.833841
39.78908,159,4576.26457
-3.527694,78,4591.261428
38.59789,129,4615.597555
38.497317,149,4644.14573
-6.047513,87,4660.72202
-3.645352,81,4676.345074
39.405144,115,4698.131401
38.926766,97,4717.022867
38.973815,125,4740.278073
39.088352,102,4760.083944
-2.238277,74,4774.889576
39.550941,90,4792.461401
39.0385,111,4813.488635
39.135385,147,4841.185841
38.384823,119,4863.64432
38.607793,150,4891.658983
39.035154,101,4911.142867
-1.577812,72,4925.306866
-3.589343,52,4936.045844
39.545657,116,4957.937129
39.633404,111,4978.785743
38.712848,139,5005.396323
38.697902,162,5035.483584
39.64655,136,5060.794043
-4.324508,61,5073.258564
38.505934,96,5091.69574
-5.291792,71,5105.382874
38.591068,108,5125.831279
39.295516,92,5143.850095
38.896171,115,5165.814227
39.061725,161,5196.400412
-2.093525,85,5212.863642
39.455802,142,5239.536006
-0.173497,82,5255.691226
39.452686,113,5277.138349
-8.68275,17,5281.32692
-8.885508,27,5287.248152
-4.763788,72,5301.359985
38.663731,124,5324.848764
-4.143556,42,5333.919173
38.98882,97,5352.364844
38.946889,137,5377.712114
38.504647,98,5397.389969
39.496658,154,5425.884047
39.494859,104,5446.052439
38.659068,150,5474.257005
-1.167333,80,5489.946705
39.678655,108,5510.443754
39.165817,175,5542.918807
38.994397,111,5564.043773
-3.509081,78,5580.478494
-6.793199,40,5589.02238
38.662423,97,5607.803276
-4.749926,50,5618.050837
-1.321217,82,5633.980382
38.793968,106,5654.210402
-1.033399,230,5695.923434
-0.592378,110,5716.785306
-2.611323,61,5729.128727
-2.088425,105,5749.598694
38.642449,90,5766.914769
0.475473,130,5791.939738
39.298136,118,5814.216603
-4.567876,51,5824.601807
39.551221,158,5853.951853
38.462415,87,5870.996578
38.961123,98,5889.981077
0.584784,96,5907.994726
-5.478426,85,5924.160592
39.100945,127,5948.077185
-6.043772,77,5964.064321
40.057952,85,5980.512094
-4.874495,53,5991.257598
-0.406951,78,6006.435861
-6.064914,70,6020.074443
-12.33596,17,6024.382793
-1.034662,151,6051.952499
39.043827,112,6072.931453
-5.458885,84,6089.002369
38.632573,132,6113.849045
-7.237886,39,6122.022469
-3.070091,47,6131.78728
-3.410137,72,6146.019174
39.108793,97,6165.453097
-9.95965,51,6175.885307
-4.716447,40,6184.436348
39.418085,102,6203.915981
1.605156,208,6241.917933
-7.026123,44,6251.036703
39.67241,104,6270.890809
39.753845,118,6293.178314
39.00271,91,6310.572005
-2.803344,65,6323.64661
-9.099935,36,6331.212289
39.470119,130,6356.334313
-5.249248,72,6370.367448
0.109145,78,6385.726371
38.451404,173,6417.765903
39.283557,117,6439.780857
39.169215,94,6457.657449
-0.852372,104,6477.784765
-4.058306,57,6489.316813
38.977726,93,6507.002745
39.708083,90,6524.02727
38.841248,116,6546.620238
38.649244,127,6570.554171
-7.576212,57,6581.9061
38.505573,91,6599.230226
38.220304,157,6628.178866
39.74626,111,6649.442108
39.390466,93,6667.13484
-3.970544,48,6676.98062
39.684,183,6710.511548
38.963087,111,6731.409979
38.758729,142,6758.655348
40.131924,161,6788.505186
-2.506242,107,6809.041106
39.698707,126,6832.492647
-1.110254,123,6855.711572
39.036652,97,6874.18772
39.367732,103,6893.741254
38.73659,95,6911.748775
-3.242908,65,6925.54173
38.644446,121,6948.667538
38.780429,129,6972.778378
-2.504075,110,6993.681468
38.942961,86,7010.082176
-0.484519,146,7037.450836
38.282816,86,7054.123437
39.164391,86,7070.88995
-4.006467,61,7083.196033
39.002572,138,7108.868587
39.166685,112,7130.957427
-6.7544,60,7142.82489
39.160773,93,7160.861258
-1.120196,93,7178.942714
-6.774368,66,7191.830886
39.203355,158,7220.95473
-4.987337,58,7232.778893
38.848182,117,7254.824341
39.170317,118,7277.125641
38.858452,76,7291.815852
40.200161,153,7321.023955
38.918364,139,7347.276971
39.013812,123,7370.308894
38.395673,111,7391.054904
-0.481425,115,7412.738724
39.423826,148,7440.503185
0.393229,144,7467.095624
39.554092,148,7495.432951
-2.089289,80,7510.801824
39.110796,103,7530.115291
-4.495084,45,7539.562894
-5.117519,86,7556.073931
39.915859,87,7573.105017
-2.334014,86,7589.834814
0.701182,156,7618.631281
-2.53479,58,7630.394047
38.585708,144,7657.176986
39.177987,91,7674.893453
38.691668,130,7700.318282
-3.215169,126,7724.203558
38.797264,141,7750.744857
39.092688,135,7776.019159
-1.154099,66,7789.027602
38.853215,222,7829.57956
30,1,7831.013504
39.022375,107,7851.437058
-3.936988,51,7862.011197
38.925847,85,7879.320249
-2.661444,71,7893.513313
39.210252,129,7917.748037
39.117602,114,7939.366413
-1.087135,74,7953.963506
38.753508,113,7975.526866
-3.413003,54,7986.654314
39.956928,102,8005.905988
39.279903,110,8026.843264
39.93619,86,8043.525993
-8.796708,34,8050.650736
39.189365,110,8072.229685
38.847241,173,8104.141669
39.68206,108,8124.865363
39.62253,113,8145.881824
0.122682,102,8165.350404
-3.379162,62,8177.81696
39.729683,116,8199.62073
38.122195,114,8221.220067
38.40688,82,8237.160625
-4.749834,40,8245.618087
-0.234236,76,8260.377347
39.23272,122,8284.0316
1.170628,132,8308.657163
39.209757,92,8326.571018
38.975371,102,8346.194935
-8.416903,41,8354.734306
39.119995,188,8389.372554
0.969802,133,8413.638361
38.911765,100,8432.769883
-7.331817,19,8437.583685
39.155864,135,8463.735873
38.692928,115,8485.617908
38.726637,117,8507.885082
-8.649273,14,8511.749497
39.459572,178,8544.36855
38.710238,113,8565.601039
-1.065437,73,8580.09359
38.903882,124,8603.164871
39.199983,95,8621.304638
-1.186826,79,8636.712652
38.20456,141,8663.83042
-5.827401,24,8669.492039
-1.305073,89,8686.77981
38.436286,132,8711.623852
38.941868,187,8746.135288
-4.816415,70,8759.916198
-3.534984,65,8772.826617
38.888661,93,8790.578062
-3.223087,59,8802.608195
-8.914645,16,8806.742774
39.366416,174,8839.596598
39.033856,110,8860.445685
38.365432,120,8883.2558
1.851416,163,8913.13112
39.518558,105,8933.188234
38.492584,92,8950.834382
39.690059,122,8973.773865
0.47573,136,8999.36313
-2.201536,82,9015.375813
38.821835,100,9035.183784
-4.212165,68,9048.522616
39.0287,147,9075.956056
-3.235986,46,9085.409859
39.936364,110,9106.382648
-3.566359,90,9123.493311
-2.845603,54,9134.440838
-0.265714,94,9152.481789
38.974641,138,9178.153687
38.917558,119,9200.490292
39.068453,109,9222.103384
-4.158956,41,9230.732627
-5.123654,93,9248.343952
39.007218,141,9274.542444
39.277867,101,9293.88564
40.245721,187,9328.09102
-8.732762,17,9332.411551
-6.782249,67,9345.495936
38.670373,108,9365.964042
39.940804,141,9392.409093
39.380689,100,9412.466516
-0.401771,97,9431.012995
39.467933,95,9449.388669
39.509789,162,9479.330762
-4.446305,54,9490.620536
39.330824,104,9510.549872
-0.248403,81,9526.698828
38.961728,114,9548.37037
-4.790724,55,9559.598945
39.394221,135,9584.824332
40.100574,159,9615.171269
38.66457,102,9634.478149
-0.445391,156,9663.634937
38.612938,105,9683.510906
-3.036711,52,9694.51296
-3.114823,71,9708.629821
39.209453,90,9725.882529
39.022886,94,9744.162372
38.495449,91,9761.622933
39.278158,149,9789.175945
38.721758,151,9818.152647
38.958677,113,9839.43027
39.240141,125,9863.061682
38.800006,100,9882.172551
-2.975919,133,9907.135569
39.631328,131,9931.550285
39.094738,94,9949.656853
38.492439,109,9970.205627
0.753445,100,9990.212472
39.034185,95,10008.394416
-3.674476,52,10019.284757
39.311792,120,10041.925804
-3.712641,62,10054.709509
39.04886,104,10074.396145
38.260381,155,10103.392908
39.428974,111,10124.590108
39.111129,109,10145.682078
38.472808,100,10164.840901
39.314439,149,10193.275536
-2.208116,71,10207.270334
38.672329,103,10226.94154
39.007721,129,10251.395812
0.076972,122,10274.73479
33.516408,89,10291.779121
-2.89738,117,10313.951423
38.021227,117,10336.142374
39.259445,113,10357.222313
39.719289,155,10386.926159
-4.174158,60,10399.106377
38.642449,93,10416.839241
38.857229,107,10437.402132
38.698236,211,10476.042361
39.317417,147,10503.787498
38.971373,145,10530.499358
38.798455,104,10550.094171
40.138478,103,10570.533221
-4.666521,60,10582.706141
38.968466,88,10599.765705
38.22127,144,10626.502706
38.714588,88,10643.627794
38.634915,115,10665.624741
40.072442,131,10690.328704
38.465068,118,10712.559846
38.910544,108,10733.139291
-4.67841,39,10741.58921
-4.941976,38,10750.817037
38.673217,106,10771.229329
-0.237599,88,10788.634382
-3.090724,69,10802.67501
38.57111,124,10826.028485
38.822857,100,10845.09937
38.812786,103,10864.690485
-1.21678,106,10884.929734
38.364124,98,10903.824061
-8.745024,25,10909.543643
-5.048601,49,10919.585966
39.638093,99,10938.546938
39.138612,88,10956.264693
39.169063,103,10975.830311
39.671415,96,10994.078346
38.982884,94,11012.458694
-2.263494,79,11028.198392
39.248687,95,11046.363426
-4.829922,61,11058.472343
38.604681,84,11074.725265
-4.213544,47,11084.4983
39.064268,107,11104.895614
-2.159032,107,11125.36311
39.380613,112,11147.401805
-5.286814,30,11154.185499
-1.311712,89,11171.359354
38.968486,122,11194.333157
39.997131,190,11229.221229
39.139322,93,11247.079222
-1.012384,73,11261.47543
39.953671,221,11301.584675
-3.067744,59,11313.453498
39.251099,100,11333.313674
39.072457,129,11357.718363
-4.093561,51,11368.216654
39.100218,122,11391.071622
39.788161,197,11427.066324
39.874327,128,11451.274512
39.387438,123,11474.364824
-4.593213,60,11486.372673
39.196958,91,11503.663383
38.411361,76,11519.324618
39.695311,121,11542.644432
39.463996,98,11561.288169
39.360724,142,11587.79551
-6.334959,45,11597.220505
39.189671,131,11621.91653
38.583126,150,11649.554977
39.107389,105,11669.485982
39.702978,151,11697.956165
38.401243,111,11719.929854
38.797367,98,11738.837351
38.99313,106,11758.848402
39.103409,93,11776.732641
38.435772,84,11792.890149
39.187367,86,11809.566539
39.59509,105,11829.399906
39.669389,94,11847.630452
39.267585,112,11869.000512
38.802634,130,11893.6441
-0.487022,162,11924.530421
38.66109,159,11954.113516
39.26326,107,11974.155434
39.739646,109,11995.069223
39.799385,109,12015.6209
39.069674,90,12033.267107
39.732252,132,12058.059067
-1.022724,134,12083.225511
-0.525396,122,12107.524028
38.272535,95,12125.826311
0.441768,141,12152.380448
-7.740626,100,12171.296108
38.450635,107,12191.450624
38.517689,85,12207.831043
-1.038301,75,12222.626986
1.630023,120,12245.304861
38.940128,166,12275.985152
39.575269,184,12311.266759
38.694198,136,12336.86662
39.60473,112,12358.355026
-4.779179,53,12369.113274
-3.726166,50,12379.643808
38.920161,120,12402.090028
38.053912,237,12445.202427
39.823194,113,12466.766447
39.639967,110,12488.740149
39.027368,96,12507.291683
39.46312,107,12527.79448
-2.000959,119,12550.496285
39.402984,177,12582.92391
-8.808674,25,12588.718
-4.66923,66,12601.971702
38.651556,114,12623.70039
39.603553,120,12646.364577
40.114791,110,12667.861826
39.294924,86,12684.768951
38.876414,144,12711.65129
40.212714,173,12743.382065
38.544937,97,12761.93609
39.558778,107,12782.164365
39.173566,121,12805.145011
39.043332,124,12828.393184
39.206375,123,12852.145973
38.66598,89,12869.1736
38.729774,119,12891.536515
-4.946701,51,12902.057765
